objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
12776,RH2222, ,RH,Round Hill,Round Hill Park,,,,,,,,0.01780424,,,,,,,{7342DA39-46A5-4EC5-859B-2FFA9F674830},Closed,0.000289372853751119
12777,RH2223, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02205659,,,,,,,{695CC893-2990-4514-8671-213626B41261},Closed,0.000360246067710936
12778,RH2224, ,RH,Round Hill,Round Hill Park,,,,,,,,0.09976144,,,,,,,{56A8E5DD-8FD2-4146-98A7-183AB886678F},Closed,0.00177168268625323
12779,RH2225, ,RH,Round Hill,Round Hill Park,,,,,,,,0.06015286,,,,,,,{ED038769-4FAC-4490-A0D2-C6E12085F9CC},Closed,0.000914447575965113
12780,RH2226, ,RH,Round Hill,Round Hill Park,,,,,,,,0.05222396,,,,,,,{2665A61B-F06B-4EE7-8F92-C8A1B9CFF11D},Closed,0.000778680875973679
12781,RH2227, ,RH,Round Hill,Round Hill Park,,,,,,,,0.04963883,,,,,,,{A320AD3C-7E5F-4254-B08C-E32E2341E54F},Closed,0.000842217548870047
12782,RH2228, ,RH,Round Hill,Round Hill Park,,,,,,,,0.12765922,,,,,,,{7E83F60F-BF58-4B23-ACCA-EEA06EBF6778},Closed,0.00206363569461814
12783,RH2229, ,RH,Round Hill,Round Hill Park,,,,,,,,0.08957718,,,,,,,{B43ADE21-D1D2-4400-8DCE-71104A2AB36A},Closed,0.00156277217137338
12864,RH2640, ,RH,Round Hill,Round Hill Park,,,,,,,,0.32845047,,,,,,,{117C64E6-F3A3-495B-9BFB-383A43D8E292},Active Trail,0.00528114949925054
12865,RH2641, ,RH,Round Hill,Round Hill Park,,,,,,,,0.6222404,,,,,,,{1119EBAC-78F4-43BF-880E-8E3132A94BBE},Closed,0.0102858077968057
12866,RH2642, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27716441,,,,,,,{4741BFF7-EDE7-44BF-BF27-AF686D7DE4EC},Closed,0.00501288887247682
12867,RH2643, ,RH,Round Hill,Round Hill Park,,,,,,,,0.44624606,,,,,,,{F3875A9D-58BC-4FEF-B451-34691211C845},Closed,0.00799783131559755
